Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Charge Group Description,Arrest Type Code,Charge Description,Address,Cross Street,Location
191811472,5/3/2019,1700,18,Southeast,1802,23,F,,M,,91ST,FIGUEROA,"(33.9543, -118.2827)"
5614161,4/29/2019,1040,8,West LA,842,41,M,Robbery,F,ROBBERY,11600    WILSHIRE                     BL,,"(34.0508, -118.4592)"
5615197,4/30/2019,615,6,Hollywood,663,27,M,Burglary,F,BURGLARY,LA BREA,LEXINGTON,"(34.0907, -118.3384)"
5615701,4/30/2019,1100,9,Van Nuys,901,2,F,,D,,RAYMER,SEPULVEDA                    BL,"(34.2149, -118.4674)"
5615929,4/30/2019,1550,20,Olympic,2049,41,M,Aggravated Assault,F,ADW W/FIREARM,8TH                          ST,VERMONT,"(34.0578, -118.2916)"
190112234,4/16/2019,1450,1,Central,123,54,F,Miscellaneous Other Violations,M,ILLEGAL POSSESSION OF SHOPPING CART,1ST,SPRING,"(34.053, -118.2444)"
190112235,4/26/2019,1505,1,Central,152,57,M,Drunkeness,M,DRINKING IN PUBLIC,6TH,HILL,"(34.0481, -118.2542)"
190112236,4/26/2019,1515,1,Central,135,35,M,Miscellaneous Other Violations,M,ILLEGAL POSSESSION OF SHOPPING CART,2ND,MAIN,"(34.0514, -118.2451)"
190112237,4/26/2019,1845,1,Central,162,29,M,Larceny,M,SHOPLIFTING,700 W  7TH                          ST,,"(34.048, -118.2577)"
190112276,4/27/2019,2215,1,Central,163,35,M,Liquor Laws,I,DRINKING ALCOHOL*******,7TH,FLOWER,"(34.0438, -118.2547)"
190112289,4/26/2019,1745,1,Central,119,39,M,Miscellaneous Other Violations,M,REFUSE TO LEAVE LANDS UPON REQUEST,700 N  VIGNES                       ST,,"(34.0552, -118.2322)"
190210375,4/23/2019,1820,2,Rampart,257,55,M,,I,,1400 W  6TH                          ST,,"(34.0562, -118.2673)"
190210376,4/23/2019,1505,2,Rampart,245,27,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210377,4/27/2019,1205,2,Rampart,245,42,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210378,4/22/2019,1525,2,Rampart,245,31,M,,I,,WILSHIRE,ALVARADO,"(34.0597, -118.2795)"
190210379,4/22/2019,1525,2,Rampart,245,56,M,,I,,WILSHIRE,ALVARADO,"(34.0597, -118.2795)"
190210380,4/22/2019,1555,2,Rampart,245,28,M,,I,,WILSHIRE,ALVARADO,"(34.0597, -118.2795)"
190210381,4/23/2019,1600,2,Rampart,245,47,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210382,4/23/2019,1650,2,Rampart,245,32,F,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210383,4/26/2019,2015,2,Rampart,257,69,M,,I,,UNION,6TH,"(34.0569, -118.2689)"
190210384,4/24/2019,2025,2,Rampart,246,40,M,,I,,600 S  ALVARADO                     ST,,"(34.0596, -118.2749)"
190210386,4/23/2019,1530,2,Rampart,235,60,M,,I,,CORONADO,BEVERLY,"(34.0691, -118.2759)"
190210387,4/25/2019,1820,2,Rampart,275,52,M,,I,,BEACON,OLYMPIC,"(34.0498, -118.2754)"
190210388,4/22/2019,1655,2,Rampart,245,20,M,Liquor Laws,I,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210389,4/22/2019,1655,2,Rampart,245,21,M,Liquor Laws,I,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210390,4/25/2019,1900,2,Rampart,245,38,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210391,4/23/2019,1740,2,Rampart,245,54,M,Liquor Laws,I,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210392,4/23/2019,1735,2,Rampart,245,28,M,Liquor Laws,I,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210393,4/25/2019,1850,2,Rampart,245,26,F,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210394,4/23/2019,1735,2,Rampart,245,48,F,Liquor Laws,I,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210395,4/22/2019,1530,2,Rampart,245,36,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210396,4/25/2019,1720,2,Rampart,245,34,M,Liquor Laws,I,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210397,4/22/2019,1550,2,Rampart,245,47,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210398,4/25/2019,1700,2,Rampart,251,27,F,Liquor Laws,I,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,CORONADO,7TH                          ST,"(34.059, -118.2824)"
190210399,4/22/2019,1555,2,Rampart,245,26,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210400,4/25/2019,1700,2,Rampart,245,33,M,Liquor Laws,I,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,600 S  CORONADO                     ST,,"(34.062, -118.2804)"
190210401,4/25/2019,1620,2,Rampart,245,62,M,Liquor Laws,I,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210402,4/27/2019,2125,2,Rampart,245,56,M,Liquor Laws,I,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210403,4/25/2019,1615,2,Rampart,245,59,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210404,4/27/2019,1045,2,Rampart,245,30,M,,I,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
